director_name,actor_1_name,actor_2_name,actor_3_name,title_year,movie_title,genres,comb
James Cameron,CCH Pounder,Joel David Moore,Wes Studi,2009.0,avatar,Action Adventure Fantasy Sci-Fi,CCH Pounder Joel David Moore Wes Studi James Cameron Action Adventure Fantasy Sci-Fi
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,2007.0,pirates of the caribbean: at world's end,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
Sam Mendes,Christoph Waltz,Rory Kinnear,Stephanie Sigman,2015.0,spectre,Action Adventure Thriller,Christoph Waltz Rory Kinnear Stephanie Sigman Sam Mendes Action Adventure Thriller
Christopher Nolan,Tom Hardy,Christian Bale,Joseph Gordon-Levitt,2012.0,the dark knight rises,Action Thriller,Tom Hardy Christian Bale Joseph Gordon-Levitt Christopher Nolan Action Thriller
Doug Walker,Doug Walker,Rob Walker,unknown,unknown,star wars: episode vii - the force awakens            ,Documentary,Doug Walker Rob Walker unknown Doug Walker Documentary
Andrew Stanton,Daryl Sabara,Samantha Morton,Polly Walker,2012.0,john carter,Action Adventure Sci-Fi,Daryl Sabara Samantha Morton Polly Walker Andrew Stanton Action Adventure Sci-Fi
Nathan Greno,Brad Garrett,Donna Murphy,M.C. Gainey,2010.0,tangled,Adventure Animation Comedy Family Fantasy Musical Romance,Brad Garrett Donna Murphy M.C. Gainey Nathan Greno Adventure Animation Comedy Family Fantasy Musical Romance
Joss Whedon,Chris Hemsworth,Robert Downey Jr.,Scarlett Johansson,2015.0,avengers: age of ultron,Action Adventure Sci-Fi,Chris Hemsworth Robert Downey Jr. Scarlett Johansson Joss Whedon Action Adventure Sci-Fi
David Yates,Alan Rickman,Daniel Radcliffe,Rupert Grint,2009.0,harry potter and the half-blood prince,Adventure Family Fantasy Mystery,Alan Rickman Daniel Radcliffe Rupert Grint David Yates Adventure Family Fantasy Mystery
Zack Snyder,Henry Cavill,Lauren Cohan,Alan D. Purwin,2016.0,batman v superman: dawn of justice,Action Adventure Sci-Fi,Henry Cavill Lauren Cohan Alan D. Purwin Zack Snyder Action Adventure Sci-Fi
Bryan Singer,Kevin Spacey,Marlon Brando,Frank Langella,2006.0,superman returns,Action Adventure Sci-Fi,Kevin Spacey Marlon Brando Frank Langella Bryan Singer Action Adventure Sci-Fi
Marc Forster,Giancarlo Giannini,Mathieu Amalric,Rory Kinnear,2008.0,quantum of solace,Action Adventure,Giancarlo Giannini Mathieu Amalric Rory Kinnear Marc Forster Action Adventure
Gore Verbinski,Johnny Depp,Orlando Bloom,Jack Davenport,2006.0,pirates of the caribbean: dead man's chest,Action Adventure Fantasy,Johnny Depp Orlando Bloom Jack Davenport Gore Verbinski Action Adventure Fantasy
Gore Verbinski,Johnny Depp,Ruth Wilson,Tom Wilkinson,2013.0,the lone ranger,Action Adventure Western,Johnny Depp Ruth Wilson Tom Wilkinson Gore Verbinski Action Adventure Western
Zack Snyder,Henry Cavill,Christopher Meloni,Harry Lennix,2013.0,man of steel,Action Adventure Fantasy Sci-Fi,Henry Cavill Christopher Meloni Harry Lennix Zack Snyder Action Adventure Fantasy Sci-Fi
Andrew Adamson,Peter Dinklage,Pierfrancesco Favino,Damián Alcázar,2008.0,the chronicles of narnia: prince caspian,Action Adventure Family Fantasy,Peter Dinklage Pierfrancesco Favino Damián Alcázar Andrew Adamson Action Adventure Family Fantasy
Rob Marshall,Johnny Depp,Sam Claflin,Stephen Graham,2011.0,pirates of the caribbean: on stranger tides,Action Adventure Fantasy,Johnny Depp Sam Claflin Stephen Graham Rob Marshall Action Adventure Fantasy
Barry Sonnenfeld,Will Smith,Michael Stuhlbarg,Nicole Scherzinger,2012.0,men in black 3,Action Adventure Comedy Family Fantasy Sci-Fi,Will Smith Michael Stuhlbarg Nicole Scherzinger Barry Sonnenfeld Action Adventure Comedy Family Fantasy Sci-Fi
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,2014.0,the hobbit: the battle of the five armies,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
Marc Webb,Emma Stone,Andrew Garfield,Chris Zylka,2012.0,the amazing spider-man,Action Adventure Fantasy,Emma Stone Andrew Garfield Chris Zylka Marc Webb Action Adventure Fantasy
Ridley Scott,Mark Addy,William Hurt,Scott Grimes,2010.0,robin hood,Action Adventure Drama History,Mark Addy William Hurt Scott Grimes Ridley Scott Action Adventure Drama History
Peter Jackson,Aidan Turner,Adam Brown,James Nesbitt,2013.0,the hobbit: the desolation of smaug,Adventure Fantasy,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy
Chris Weitz,Christopher Lee,Eva Green,Kristin Scott Thomas,2007.0,the golden compass,Adventure Family Fantasy,Christopher Lee Eva Green Kristin Scott Thomas Chris Weitz Adventure Family Fantasy
James Cameron,Leonardo DiCaprio,Kate Winslet,Gloria Stuart,1997.0,titanic,Drama Romance,Leonardo DiCaprio Kate Winslet Gloria Stuart James Cameron Drama Romance
Anthony Russo,Robert Downey Jr.,Scarlett Johansson,Chris Evans,2016.0,captain america: civil war,Action Adventure Sci-Fi,Robert Downey Jr. Scarlett Johansson Chris Evans Anthony Russo Action Adventure Sci-Fi
Peter Berg,Liam Neeson,Alexander Skarsgård,Tadanobu Asano,2012.0,battleship,Action Adventure Sci-Fi Thriller,Liam Neeson Alexander Skarsgård Tadanobu Asano Peter Berg Action Adventure Sci-Fi Thriller
Colin Trevorrow,Bryce Dallas Howard,Judy Greer,Omar Sy,2015.0,jurassic world,Action Adventure Sci-Fi Thriller,Bryce Dallas Howard Judy Greer Omar Sy Colin Trevorrow Action Adventure Sci-Fi Thriller
Sam Raimi,J.K. Simmons,James Franco,Kirsten Dunst,2004.0,spider-man 2,Action Adventure Fantasy Romance,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance
